fid,new_commun,old_commun,mean_evi,date
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,3752.922407561724,2000-02-18
4,AMBOHIMIERA,AMBOHIMIERA,3526.062514811795,2000-02-18
9,ANALAMPASINA,ANALAMPASINA,3820.236958415889,2000-02-18
6,ANDRORANGAVOLA,ANDRORANGAVOLA,3560.0466037253905,2000-02-18
7,AMBIABE,ANDRORANGAVOLA,3484.896505034161,2000-02-18
14,ANTARETRA,ANTARETRA,3641.6665300548702,2000-02-18
15,ANTSINDRA,ANTSINDRA,3217.3028288606415,2000-02-18
5,AMPASINAMBO,FASINTSARA,3072.0298322702865,2000-02-18
11,FASINTSARA,FASINTSARA,3550.264709243364,2000-02-18
8,IFANADIANA,IFANADIANA,3359.590244918152,2000-02-18
3,KELILALINA,KELILALINA,3809.5457526893842,2000-02-18
12,MAROHARATRA,MAROHARATRA,3565.9077545770688,2000-02-18
13,MAROTOKO,MAROTOKO,3725.870638773552,2000-02-18
1,RANOMAFANA,RANOMAFANA,3194.577180949698,2000-02-18
10,TSARATANANA,TSARATANANA,3506.0933914505417,2000-02-18
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,4777.726377797475,2000-03-05
4,AMBOHIMIERA,AMBOHIMIERA,3900.600000900339,2000-03-05
9,ANALAMPASINA,ANALAMPASINA,4993.22671873524,2000-03-05
6,ANDRORANGAVOLA,ANDRORANGAVOLA,4778.8452929034,2000-03-05
7,AMBIABE,ANDRORANGAVOLA,4392.066802417479,2000-03-05
14,ANTARETRA,ANTARETRA,4961.795667208779,2000-03-05
15,ANTSINDRA,ANTSINDRA,4708.79998125087,2000-03-05
5,AMPASINAMBO,FASINTSARA,3602.7615312019834,2000-03-05
11,FASINTSARA,FASINTSARA,4849.712623975578,2000-03-05
8,IFANADIANA,IFANADIANA,4245.03022374269,2000-03-05
3,KELILALINA,KELILALINA,4636.886622521545,2000-03-05
12,MAROHARATRA,MAROHARATRA,4449.04697878946,2000-03-05
13,MAROTOKO,MAROTOKO,5060.587834107763,2000-03-05
1,RANOMAFANA,RANOMAFANA,3849.992907229329,2000-03-05
10,TSARATANANA,TSARATANANA,4663.182737247483,2000-03-05
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,4994.630643323772,2000-03-21
4,AMBOHIMIERA,AMBOHIMIERA,4174.525517767528,2000-03-21
9,ANALAMPASINA,ANALAMPASINA,5001.937242866103,2000-03-21
6,ANDRORANGAVOLA,ANDRORANGAVOLA,5491.982132838878,2000-03-21
7,AMBIABE,ANDRORANGAVOLA,5329.411765690374,2000-03-21
14,ANTARETRA,ANTARETRA,5198.257956541719,2000-03-21
15,ANTSINDRA,ANTSINDRA,4988.298128540132,2000-03-21
5,AMPASINAMBO,FASINTSARA,4217.350710324708,2000-03-21
11,FASINTSARA,FASINTSARA,4796.176598926044,2000-03-21
8,IFANADIANA,IFANADIANA,5306.212839854818,2000-03-21
3,KELILALINA,KELILALINA,5085.465663793417,2000-03-21
12,MAROHARATRA,MAROHARATRA,5060.7140123954205,2000-03-21
13,MAROTOKO,MAROTOKO,5470.245317631212,2000-03-21
1,RANOMAFANA,RANOMAFANA,3782.2261490461383,2000-03-21
10,TSARATANANA,TSARATANANA,4956.515043158317,2000-03-21
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,4669.56755385798,2000-04-06
4,AMBOHIMIERA,AMBOHIMIERA,4444.018692196916,2000-04-06
9,ANALAMPASINA,ANALAMPASINA,4938.35749378012,2000-04-06
6,ANDRORANGAVOLA,ANDRORANGAVOLA,4892.869693012688,2000-04-06
7,AMBIABE,ANDRORANGAVOLA,4968.429562064156,2000-04-06
14,ANTARETRA,ANTARETRA,5053.695130417216,2000-04-06
15,ANTSINDRA,ANTSINDRA,4591.581701829512,2000-04-06
5,AMPASINAMBO,FASINTSARA,3956.7331374736505,2000-04-06
11,FASINTSARA,FASINTSARA,4425.230578225783,2000-04-06
8,IFANADIANA,IFANADIANA,4837.530165935386,2000-04-06
3,KELILALINA,KELILALINA,4907.81330922516,2000-04-06
12,MAROHARATRA,MAROHARATRA,4549.559785036929,2000-04-06
13,MAROTOKO,MAROTOKO,4926.860912295051,2000-04-06
1,RANOMAFANA,RANOMAFANA,4295.200673986072,2000-04-06
10,TSARATANANA,TSARATANANA,4893.422815518419,2000-04-06
