fid,new_commun,old_commun,mean_ndvi,date
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,6477.32676117293,2000-02-18
4,AMBOHIMIERA,AMBOHIMIERA,6558.445002583834,2000-02-18
9,ANALAMPASINA,ANALAMPASINA,6689.965320212916,2000-02-18
6,ANDRORANGAVOLA,ANDRORANGAVOLA,5553.274902739025,2000-02-18
7,AMBIABE,ANDRORANGAVOLA,6047.725826313417,2000-02-18
14,ANTARETRA,ANTARETRA,5971.474788486779,2000-02-18
15,ANTSINDRA,ANTSINDRA,5426.251877589835,2000-02-18
5,AMPASINAMBO,FASINTSARA,6198.8850080328,2000-02-18
11,FASINTSARA,FASINTSARA,6386.811790249551,2000-02-18
8,IFANADIANA,IFANADIANA,5786.188776670018,2000-02-18
3,KELILALINA,KELILALINA,6564.859349229859,2000-02-18
12,MAROHARATRA,MAROHARATRA,6272.7709865514,2000-02-18
13,MAROTOKO,MAROTOKO,5713.7771905203335,2000-02-18
1,RANOMAFANA,RANOMAFANA,6016.555370181664,2000-02-18
10,TSARATANANA,TSARATANANA,5933.248960013286,2000-02-18
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,6967.919467575142,2000-03-05
4,AMBOHIMIERA,AMBOHIMIERA,5621.5424338447665,2000-03-05
9,ANALAMPASINA,ANALAMPASINA,7113.0496603041165,2000-03-05
6,ANDRORANGAVOLA,ANDRORANGAVOLA,6700.76872546741,2000-03-05
7,AMBIABE,ANDRORANGAVOLA,6308.136838679681,2000-03-05
14,ANTARETRA,ANTARETRA,7112.111251438125,2000-03-05
15,ANTSINDRA,ANTSINDRA,7005.4774418283405,2000-03-05
5,AMPASINAMBO,FASINTSARA,5517.09141550847,2000-03-05
11,FASINTSARA,FASINTSARA,7062.927881677056,2000-03-05
8,IFANADIANA,IFANADIANA,6092.29963704595,2000-03-05
3,KELILALINA,KELILALINA,6510.851320675967,2000-03-05
12,MAROHARATRA,MAROHARATRA,6547.700136678294,2000-03-05
13,MAROTOKO,MAROTOKO,7050.088908878403,2000-03-05
1,RANOMAFANA,RANOMAFANA,5673.986160886624,2000-03-05
10,TSARATANANA,TSARATANANA,6555.13315181883,2000-03-05
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,7748.584085042685,2000-03-21
4,AMBOHIMIERA,AMBOHIMIERA,8189.115940961285,2000-03-21
9,ANALAMPASINA,ANALAMPASINA,7986.374210883443,2000-03-21
6,ANDRORANGAVOLA,ANDRORANGAVOLA,7896.358876554594,2000-03-21
7,AMBIABE,ANDRORANGAVOLA,8047.403336122731,2000-03-21
14,ANTARETRA,ANTARETRA,7988.759783327837,2000-03-21
15,ANTSINDRA,ANTSINDRA,7784.618372426927,2000-03-21
5,AMPASINAMBO,FASINTSARA,8216.680280544548,2000-03-21
11,FASINTSARA,FASINTSARA,7718.558587254075,2000-03-21
8,IFANADIANA,IFANADIANA,7909.107358585334,2000-03-21
3,KELILALINA,KELILALINA,8177.74297752089,2000-03-21
12,MAROHARATRA,MAROHARATRA,7871.759576224712,2000-03-21
13,MAROTOKO,MAROTOKO,7912.368737294154,2000-03-21
1,RANOMAFANA,RANOMAFANA,8417.4097551525,2000-03-21
10,TSARATANANA,TSARATANANA,7936.571723842633,2000-03-21
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,8028.268224021318,2000-04-06
4,AMBOHIMIERA,AMBOHIMIERA,8395.093375452667,2000-04-06
9,ANALAMPASINA,ANALAMPASINA,8123.80549010402,2000-04-06
6,ANDRORANGAVOLA,ANDRORANGAVOLA,8196.024951408825,2000-04-06
7,AMBIABE,ANDRORANGAVOLA,8146.52714830311,2000-04-06
14,ANTARETRA,ANTARETRA,8160.026837948916,2000-04-06
15,ANTSINDRA,ANTSINDRA,8133.8714265625995,2000-04-06
5,AMPASINAMBO,FASINTSARA,8448.037902256834,2000-04-06
11,FASINTSARA,FASINTSARA,7950.56526040201,2000-04-06
8,IFANADIANA,IFANADIANA,8104.415070648102,2000-04-06
3,KELILALINA,KELILALINA,8197.741896415771,2000-04-06
12,MAROHARATRA,MAROHARATRA,8183.637485753058,2000-04-06
13,MAROTOKO,MAROTOKO,8118.672692798116,2000-04-06
1,RANOMAFANA,RANOMAFANA,8433.49884259926,2000-04-06
10,TSARATANANA,TSARATANANA,8162.5015955798835,2000-04-06
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,6074.300330587001,2000-04-22
4,AMBOHIMIERA,AMBOHIMIERA,4703.921870095472,2000-04-22
9,ANALAMPASINA,ANALAMPASINA,7287.637932564716,2000-04-22
6,ANDRORANGAVOLA,ANDRORANGAVOLA,7812.094859496403,2000-04-22
7,AMBIABE,ANDRORANGAVOLA,7879.805960018593,2000-04-22
14,ANTARETRA,ANTARETRA,7992.798316944943,2000-04-22
15,ANTSINDRA,ANTSINDRA,7701.170314936157,2000-04-22
5,AMPASINAMBO,FASINTSARA,5207.898547052992,2000-04-22
11,FASINTSARA,FASINTSARA,5648.302912591001,2000-04-22
8,IFANADIANA,IFANADIANA,7998.35740265155,2000-04-22
3,KELILALINA,KELILALINA,6782.416300738818,2000-04-22
12,MAROHARATRA,MAROHARATRA,7319.222433850284,2000-04-22
13,MAROTOKO,MAROTOKO,7756.102744463564,2000-04-22
1,RANOMAFANA,RANOMAFANA,5324.338887944597,2000-04-22
10,TSARATANANA,TSARATANANA,7518.275050768451,2000-04-22
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,7859.757001124584,2000-05-08
4,AMBOHIMIERA,AMBOHIMIERA,8262.349204614797,2000-05-08
9,ANALAMPASINA,ANALAMPASINA,8080.927580214334,2000-05-08
6,ANDRORANGAVOLA,ANDRORANGAVOLA,7982.753912330733,2000-05-08
7,AMBIABE,ANDRORANGAVOLA,8041.102785681078,2000-05-08
14,ANTARETRA,ANTARETRA,8077.004571039324,2000-05-08
15,ANTSINDRA,ANTSINDRA,8055.417711026476,2000-05-08
5,AMPASINAMBO,FASINTSARA,8350.970226957228,2000-05-08
11,FASINTSARA,FASINTSARA,7694.491942475905,2000-05-08
8,IFANADIANA,IFANADIANA,8047.734636050909,2000-05-08
3,KELILALINA,KELILALINA,8088.492140605259,2000-05-08
12,MAROHARATRA,MAROHARATRA,8019.958120082864,2000-05-08
13,MAROTOKO,MAROTOKO,7933.437851102475,2000-05-08
1,RANOMAFANA,RANOMAFANA,8407.203225741407,2000-05-08
10,TSARATANANA,TSARATANANA,8125.030792678165,2000-05-08
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,7902.563015166277,2000-05-24
