comm_fkt,pop_1993,pop_2018
AMBIABE_AMBALAFASINA,231,362
AMBIABE_AMBALATENINA,635,1025
AMBIABE_AMBIABE I,639,1040
AMBIABE_AMBINANINDRANOTELO,1240,2014
AMBIABE_ANKABOKA,489,790
AMBIABE_SAHAVATANA,505,809
AMBOHIMANGA DU SUD_AMBALAHERANA,345,553
AMBOHIMANGA DU SUD_AMBALAVARY,435,704
AMBOHIMANGA DU SUD_AMBATOFANOKONANA,263,426
AMBOHIMANGA DU SUD_AMBILANIBE,356,574
AMBOHIMANGA DU SUD_AMBODIARA,281,457
AMBOHIMANGA DU SUD_AMBODIMANGA NORD,710,1166
AMBOHIMANGA DU SUD_AMBODIRAFIA,352,564
AMBOHIMANGA DU SUD_AMBODIVOASARY,231,376
AMBOHIMANGA DU SUD_AMBOHIMANGA SUD,659,1083
AMBOHIMANGA DU SUD_AMBOHIMIRANTY,411,670
AMBOHIMANGA DU SUD_ANDRORANGAVOLA NORD,463,748
AMBOHIMANGA DU SUD_ANTANJONA,243,381
AMBOHIMANGA DU SUD_FALIARIVO,330,525
AMBOHIMANGA DU SUD_FASINTSARA ANDAKANA,266,421
AMBOHIMANGA DU SUD_MANDROALINA,445,725
AMBOHIMANGA DU SUD_MAROLANANANA,505,827
AMBOHIMANGA DU SUD_MAROSATROKA,277,443
AMBOHIMANGA DU SUD_MASOAROVANA,357,584
AMBOHIMANGA DU SUD_MORARANO,311,500
AMBOHIMANGA DU SUD_NOSIMBOAHANGY,267,426
AMBOHIMANGA DU SUD_SAHAMARANA,531,870
AMBOHIMANGA DU SUD_SOANIHERENANA NORD,440,716
AMBOHIMANGA DU SUD_VOHITRARIVO,595,971
AMBOHIMIERA_AMBINANITOMAROSANA,691,1130
AMBOHIMIERA_AMBODIMANGA,419,671
AMBOHIMIERA_AMBOHIDAZA,221,331
AMBOHIMIERA_AMBOHIMAHATSINJO,473,765
AMBOHIMIERA_AMBOHIMAHAVELONA,322,521
AMBOHIMIERA_AMBOHIMIERA,698,1147
AMBOHIMIERA_AMBOHIMILANJA,418,666
AMBOHIMIERA_AMBOLO,258,421
AMBOHIMIERA_AMPANTSONA,535,850
AMBOHIMIERA_ANDEMAKA NORD,642,1048
AMBOHIMIERA_ANDRORANGAVOLA,421,678
AMBOHIMIERA_ANTARAMBAKANA,489,789
AMBOHIMIERA_FALIARIVO,362,574
AMBOHIMIERA_FIADANANA NORD,311,495
AMBOHIMIERA_MANARINONY,669,1090
AMBOHIMIERA_MAROFOTSY,451,731
AMBOHIMIERA_MAROMANANA,1025,1684
AMBOHIMIERA_SAHALALONA,685,1107
AMBOHIMIERA_SAHASOMANGANA,732,1198
AMBOHIMIERA_TSINJORANO,397,649
AMBOHIMIERA_VOHIMENA,466,749
AMPASINAMBO_AMBODIARA NORD,754,1221
AMPASINAMBO_AMPASIMBOLA I,224,349
AMPASINAMBO_AMPASINAMBO,673,1085
AMPASINAMBO_FIADANANA NORD,259,403
AMPASINAMBO_MORARANO,290,452
AMPASINAMBO_SAKAVANANA,456,733
AMPASINAMBO_VOLOBE,237,355
ANALAMPASINA_AMBARO,719,1164
ANALAMPASINA_AMBOHIMALAZA,513,837
ANALAMPASINA_AMBOHIMIARINA,273,431
ANALAMPASINA_ANALAMPASINA,749,1231
ANALAMPASINA_ANALAVORY,393,632
ANALAMPASINA_ANDRORANGAVOLA SUD,309,507
ANALAMPASINA_BETAMPO NORD,409,660
ANALAMPASINA_MANJIRIANA SUD,444,714
ANALAMPASINA_MATSITSIRANO,425,680
ANDRORANGAVOLA_AMBALATABAKA,462,754
ANDRORANGAVOLA_AMBALAVAONA,594,962
ANDRORANGAVOLA_AMBODIARA NORD,505,820
ANDRORANGAVOLA_AMBODIFONTSINA,583,946
ANDRORANGAVOLA_AMBODIRORANGA,568,926
ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO,443,705
ANDRORANGAVOLA_AMBOHIMISAFY,679,1110
ANDRORANGAVOLA_AMPASIMPOTSY,855,1401
ANDRORANGAVOLA_ANDRORANGAVOLA,1446,2376
ANDRORANGAVOLA_ANIVORANO,1144,1870
ANDRORANGAVOLA_LAVAKIANJA SUD,447,718
ANDRORANGAVOLA_MAHASOA,1534,2521
ANDRORANGAVOLA_MANDRIAPOTSY,228,359
ANDRORANGAVOLA_NOSIBE SUD,520,841
ANTARETRA_AMBINANIVATOMENA,293,464
ANTARETRA_AMBOATROTROKA,330,532
ANTARETRA_AMBODIARA I,393,634
ANTARETRA_AMBODIROTRA,403,656
ANTARETRA_AMPASIMBE,418,671
ANTARETRA_ANDONABE,654,1069
ANTARETRA_ANDRANOMAITSO,549,897
ANTARETRA_ANTARETRA,554,909
ANTARETRA_BETAMPONA,511,833
ANTARETRA_MORAFENO,253,408
ANTSINDRA_AMBATOVORY,958,1558
ANTSINDRA_AMPITABE,604,974
ANTSINDRA_AMPITOMITA,453,739
ANTSINDRA_ANIVORANO,589,950
ANTSINDRA_ANTSINDRA,828,1360
ANTSINDRA_BEFOTAKA,562,912
ANTSINDRA_KIANJAVATO,419,677
FASINTSARA_AMBALAPAISO,621,1007
FASINTSARA_AMBATOMANJAKA,613,1004
FASINTSARA_AMBINANISERY,260,415
FASINTSARA_AMBODIARA SUD,799,1313
FASINTSARA_AMBODIVOANGY,403,646
FASINTSARA_AMBOHINIHAONANA,411,670
FASINTSARA_AMBOHITSARA,198,324
FASINTSARA_ANDRANOMAINTSO,850,1373
FASINTSARA_ANTENIMBELONA,697,1136
FASINTSARA_BEFOTAKA,196,316
FASINTSARA_FASINTSARA,570,937
FASINTSARA_MANAKANA SUD,393,642
FASINTSARA_MAROVORAKA,436,707
FASINTSARA_SAHAKONDRO,211,336
FASINTSARA_TSARAKIANJA,476,775
FASINTSARA_TSARARIVOTRA,237,386
FASINTSARA_TSARATANANA,697,1141
IFANADIANA_AMBODIARA,1120,1831
IFANADIANA_AMBODIRAFIA II,660,1073
IFANADIANA_AMBORAKA,797,1307
IFANADIANA_ANDRANOFOLAHINA,869,1423
IFANADIANA_ANTAFOTENINA,636,1042
IFANADIANA_FENOARIVO I,514,830
IFANADIANA_IFANADIANA,2533,4162
IFANADIANA_MAROMENA,715,1170
IFANADIANA_SAHAFITOROKA,581,944
KELILALINA_AMBALADINGANA,565,907
KELILALINA_AMBODIPAISO NORD,292,477
KELILALINA_AMBODIPAISO SUD,473,772
KELILALINA_AMBODIVOANGY,496,799
KELILALINA_AMBOHINIHAONANA,663,1069
