comm_fkt,households,children_u5,children_5-15,men_over15,women_15-45,women_over45,total_pop
AMBIABE_AMBALAFASINA,189,261,320,245,228,31,1085
AMBIABE_AMBALATENINA,248,272,423,361,304,53,1413
AMBIABE_AMBIABE I,608,588,974,766,689,96,3113
AMBIABE_AMBINANINDRANOTELO,587,735,998,752,710,111,3306
AMBIABE_ANKABOKA,259,320,487,344,295,52,1498
AMBIABE_SAHAVATANA,148,176,272,199,180,26,853
AMBOHIMANGA DU SUD_AMBALAHERANA,202,127,221,248,233,22,851
AMBOHIMANGA DU SUD_AMBATOFANOKONANA,147,127,164,184,157,16,648
AMBOHIMANGA DU SUD_AMBILANIBE,130,109,156,168,146,20,599
AMBOHIMANGA DU SUD_AMBODIARA,63,51,87,79,84,10,311
AMBOHIMANGA DU SUD_AMBODIRAFIA,210,164,292,280,279,51,1066
AMBOHIMANGA DU SUD_AMBODIVOASARY,211,146,274,268,240,34,962
AMBOHIMANGA DU SUD_AMBOHIMANGA SUD,440,323,525,550,514,112,2024
AMBOHIMANGA DU SUD_AMBOHIMIRANTY,231,188,297,314,263,58,1120
AMBOHIMANGA DU SUD_ANDRORANGAVOLA NORD,313,274,370,384,337,49,1414
AMBOHIMANGA DU SUD_ANTANJONA,245,230,354,303,241,25,1153
AMBOHIMANGA DU SUD_FALIARIVO,109,101,168,149,122,23,563
AMBOHIMANGA DU SUD_FASINTSARA ANDAKANA,134,112,127,152,134,28,553
AMBOHIMANGA DU SUD_MANDROALINA,281,196,325,314,288,62,1185
AMBOHIMANGA DU SUD_MAROSATROKA,242,176,361,287,280,41,1145
AMBOHIMANGA DU SUD_MASOAROVANA,246,216,310,295,285,31,1137
AMBOHIMANGA DU SUD_MORARANO,147,113,174,168,134,27,616
AMBOHIMANGA DU SUD_NOSIMBOAHANGY,137,96,236,176,162,10,680
AMBOHIMANGA DU SUD_SAHAMARANA,293,204,353,332,318,31,1238
ANTARETRA_AMBINANIVATOMENA,179,175,281,218,178,29,881
ANTARETRA_AMBOATROTROKA,300,289,447,393,366,57,1552
ANTARETRA_AMBODIARA I,136,141,227,160,147,29,704
ANTARETRA_AMBODIROTRA,187,145,268,231,200,46,890
ANTARETRA_AMPASIMBE,183,181,255,227,217,20,900
ANTARETRA_ANDONABE,279,280,479,388,307,49,1503
ANTARETRA_ANDRANOMAITSO,381,269,505,499,455,63,1791
ANTARETRA_ANTARETRA,491,353,593,616,580,67,2209
ANTARETRA_BETAMPONA,113,83,166,145,123,24,541
ANTARETRA_MORAFENO,146,133,245,191,167,19,755
IFANADIANA_AMBODIARA,335,327,577,456,392,83,1835
IFANADIANA_AMBODIRAFIA II,543,483,780,689,579,111,2642
IFANADIANA_AMBORAKA,396,343,564,507,447,93,1954
IFANADIANA_ANDRANOFOLAHINA,289,263,392,358,323,56,1392
IFANADIANA_ANTAFOTENINA,261,198,332,359,327,81,1297
IFANADIANA_FENOARIVO I,184,186,309,253,232,47,1027
IFANADIANA_IFANADIANA,1180,778,1462,1551,1547,338,5676
IFANADIANA_MAROMENA,455,378,705,557,471,99,2210
IFANADIANA_SAHAFITOROKA,496,482,676,644,535,85,2422
KELILALINA_AMBALADINGANA,163,222,286,220,257,27,1012
KELILALINA_AMBODIPAISO SUD,158,133,223,201,166,38,761
KELILALINA_AMBODIPAISO NORD,105,91,139,153,132,23,538
KELILALINA_AMBODIVOANGY,222,216,329,275,266,55,1141
KELILALINA_AMBOHINIHAONANA,243,214,285,293,289,54,1135
KELILALINA_AMPITAMBE,79,61,93,118,94,25,391
KELILALINA_ANDRANOMAINTY,228,249,367,317,292,60,1285
KELILALINA_ANOSY,89,94,135,126,124,21,500
KELILALINA_FOTSIALANANA,320,375,572,459,438,83,1927
KELILALINA_KELILALINA,715,579,960,978,947,202,3666
KELILALINA_KIANJANOMBY,251,192,313,337,270,71,1183
KELILALINA_MANDRIVANY,287,236,379,391,339,70,1415
TSARATANANA_AMBALAFARY,198,261,265,217,220,34,997
TSARATANANA_AMBALAFATAKANA EST,178,207,273,218,195,15,908
TSARATANANA_AMBATOHARANANA,464,405,556,523,483,92,2059
TSARATANANA_AMBATOHARANANAKELY,202,199,374,248,229,31,1081
TSARATANANA_AMBODIGOAVY,162,141,214,189,170,39,753
TSARATANANA_AMBODIMANGA OUEST,202,170,302,254,219,44,989
TSARATANANA_AMBODIMANGA EST,419,323,598,526,432,76,1955
TSARATANANA_AMBODIRAFIA EST,329,262,492,425,384,34,1597
TSARATANANA_AMBOHIMASINA,268,289,403,307,270,39,1308
TSARATANANA_AMBOHIPO,258,199,344,317,303,63,1226
TSARATANANA_AMBOHITSARA I,470,325,611,557,527,131,2151
TSARATANANA_ANTARALAVA,114,83,140,132,115,21,491
TSARATANANA_BEFARY,435,469,670,486,441,79,2145
TSARATANANA_SAHOFIKA,311,261,371,361,322,109,1424
TSARATANANA_TSARATANANA,337,231,359,375,315,93,1373
TSARATANANA_ANDRORANGAVOLA VATOFOTSY,274,205,392,350,295,57,1299
TSARATANANA_VOHITRARIVO,253,152,285,287,248,61,1033
RANOMAFANA_AMBATOLAHY,364,219,334,431,365,81,1430
RANOMAFANA_AMBODIAVIAVY,285,157,307,331,296,53,1144
RANOMAFANA_AMPASIMPOTSY,425,442,573,487,495,99,2096
RANOMAFANA_MENARANO,279,237,389,378,332,76,1412
RANOMAFANA_RANOMAFANA,1085,616,1070,1229,1182,202,4299
